ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
1073-449X	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	AM J RESP CRIT CARE	15.239	否	1区	医学	危重病医学		https://www.atsjournals.org/toc/ajrcmb/0/ja
0021-9525	JOURNAL OF CELL BIOLOGY	J CELL BIOL	8.784	是	1区	生物	细胞生物学		http://jcb.rupress.org/newest
1554-8627	Autophagy	AUTOPHAGY	11.1	是	1区	生物	细胞生物学		https://www.tandfonline.com/action/showAxaArticles?journalCode=kaup20
1088-9051	GENOME RESEARCH	GENOME RES	10.101	是	1区	生物	生化与分子生物学		https://genome.cshlp.org/content/early/recent
0890-9369	GENES & DEVELOPMENT	GENE DEV	9.462	是	1区	生物	细胞生物学		http://genesdev.cshlp.org/content/early/recent
0091-6765	ENVIRONMENTAL HEALTH PERSPECTIVES	ENVIRON HEALTH PERSP	8.44	是	1区	生物	环境科学		https://ehp.niehs.nih.gov
1540-9295	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	FRONT ECOL ENVIRON	8.302	是	1区	生物	生态学		https://esajournals.onlinelibrary.wiley.com/toc/15409309/0/0
0265-0568	NATURAL PRODUCT REPORTS	NAT PROD REP	11.406		1区	化学	生化与分子生物学		https://pubs.rsc.org/en/journals/journalissues/np#!recentarticles&adv
0009-7322	CIRCULATION	CIRCULATION	18.881		1区	医学	心脏和心血管系统		https://www.ahajournals.org/toc/circ/0/0
0031-9333	PHYSIOLOGICAL REVIEWS	PHYSIOL REV	24.014	否	1区	医学	生理学		https://www.physiology.org/toc/physrev/99/2
0003-4932	ANNALS OF SURGERY	ANN SURG	9.203		1区	医学	外科		http://journals.lww.com/annalsofsurgery/pages/default.aspx
0085-2538	KIDNEY INTERNATIONAL	KIDNEY INT	8.429		1区	医学	泌尿学与肾脏学		https://www.kidney-international.org
0342-4642	INTENSIVE CARE MEDICINE	INTENS CARE MED	15.008		1区	医学	危重病医学		http://icmjournal.esicm.org/journals/online_first.html
0031-6997	PHARMACOLOGICAL REVIEWS	PHARMACOL REV	18.964		1区	医学	药学		http://pharmrev.aspetjournals.org/content/latest
0002-953X	AMERICAN JOURNAL OF PSYCHIATRY	AM J PSYCHIAT	13.396		1区	医学	精神病学		http://ajp.psychiatryonline.org/
0149-2195	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	MMWR-MORBID MORTAL W	12.888		1区	医学	公共卫生、环境卫生与职业卫生		http://www.cdc.gov/mmwr/index.html
0033-3190	PSYCHOTHERAPY AND PSYCHOSOMATICS	PSYCHOTHER PSYCHOSOM	13.122		1区	医学	精神病学		http://www.karger.com/Journal/Home/223864
1943-0264	Cold Spring Harbor Perspectives in Biology	CSH PERSPECT BIOL	9.247		1区	生物	细胞生物学		http://cshperspectives.cshlp.org/
0031-5850	PERSOONIA	PERSOONIA	8.182		1区	生物	真菌学		https://www.ingentaconnect.com/content/nhn/pimj
0033-2909	PSYCHOLOGICAL BULLETIN	PSYCHOL BULL	13.25		1区	医学	心理学		http://www.apa.org/pubs/journals/bul/index.aspx
0140-525X	BEHAVIORAL AND BRAIN SCIENCES	BEHAV BRAIN SCI	15.071		1区	医学	行为科学		https://www.cambridge.org/core/journals/behavioral-and-brain-sciences
1560-2745	FUNGAL DIVERSITY	FUNGAL DIVERS	14.078		1区	生物	真菌学		https://link.springer.com/search?facet-content-type=Article&facet-journal-id=13225&sortOrder=newestFirst
0066-4154	Annual Review of Biochemistry	ANNU REV BIOCHEM	20.154		1区	生物	生化与分子生物学		http://www.annualreviews.org/journal/biochem
0732-0582	Annual Review of Immunology	ANNU REV IMMUNOL	22.714		1区	医学	免疫学		http://www.annualreviews.org/loi/immunol
0362-1642	Annual Review of Pharmacology and Toxicology	ANNU REV PHARMACOL	13.295		1区	医学	药学		http://www.annualreviews.org/journal/pharmtox
0066-4197	Annual Review of Genetics	ANNU REV GENET	9.589		1区	生物	遗传学		http://www.annualreviews.org/journal/genet
1936-122X	Annual Review of Biophysics	ANNU REV BIOPHYS	11.742		1区	生物	生物物理		http://www.annualreviews.org/journal/biophys
0066-4170	Annual Review of Entomology	ANNU REV ENTOMOL	13.86		1区	生物	昆虫学		http://www.annualreviews.org/journal/ento
0066-4227	Annual Review of Microbiology	ANNU REV MICROBIOL	9.808		1区	生物	微生物学		http://www.annualreviews.org/journal/micro
1543-5008	Annual Review of Plant Biology	ANNU REV PLANT BIOL	18.712		1区	生物	植物科学		http://www.annualreviews.org/journal/arplant
1081-0706	Annual Review of Cell and Developmental Biology	ANNU REV CELL DEV BI	9.032		1区	生物	细胞生物学		http://www.annualreviews.org/journal/cellbio
1543-592X	Annual Review of Ecology Evolution and Systematics	ANNU REV ECOL EVOL S	10.16		1区	生物	生态学		http://www.annualreviews.org/journal/ecolsys
0066-4308	Annual Review of Psychology	ANNU REV PSYCHOL	22.774		1区	医学	心理学		http://www.annualreviews.org/journal/psych
1548-5943	Annual Review of Clinical Psychology	ANNU REV CLIN PSYCHO	13.278		1区	医学	心理学		http://www.annualreviews.org/loi/clinpsy
0066-4286	Annual Review of Phytopathology	ANNU REV PHYTOPATHOL	9.528		1区	农林科学	植物科学		http://www.annualreviews.org/journal/phyto
1553-4006	Annual Review of Pathology-Mechanisms of Disease	ANNU REV PATHOL-MECH	15.952		1区	医学	病理学		http://www.annualreviews.org/loi/pathmechdis
0163-7525	Annual Review of Public Health	ANNU REV PUBL HEALTH	9.491		1区	医学	公共卫生、环境卫生与职业卫生		http://www.annualreviews.org/journal/publhealth
0066-4219	Annual Review of Medicine	ANNU REV MED	14.97		1区	医学	医学：研究与实验		http://www.annualreviews.org/journal/med
0199-9885	Annual Review of Nutrition	ANNU REV NUTR	8.886		1区	医学	营养学		http://www.annualreviews.org/journal/nutr
0066-4278	Annual Review of Physiology	ANNU REV PHYSIOL	14.327		1区	医学	生理学		http://www.annualreviews.org/journal/physiol
0147-006X	Annual Review of Neuroscience	ANNU REV NEUROSCI	14.675		1区	医学	神经科学		http://www.annualreviews.org/journal/neuro
1368-7646	DRUG RESISTANCE UPDATES	DRUG RESIST UPDATE	11.63		1区	医学	药学		https://www.journals.elsevier.com/drug-resistance-updates/recent-articles
0955-0674	CURRENT OPINION IN CELL BIOLOGY	CURR OPIN CELL BIOL	10.015		1区	生物	细胞生物学		https://www.journals.elsevier.com/current-opinion-in-cell-biology/recent-articles
