ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
0198-6325	MEDICINAL RESEARCH REVIEWS	MED RES REV	8.29	是	1区	医学	药物化学		http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1128
1388-9842	EUROPEAN JOURNAL OF HEART FAILURE	EUR J HEART FAIL	10.683	是	1区	医学	心脏和心血管系统		https://onlinelibrary.wiley.com/toc/18790844/0/0
1464-7931	BIOLOGICAL REVIEWS	BIOL REV	11.7	是	1区	生物	生物学		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-185X
0168-6445	FEMS MICROBIOLOGY REVIEWS	FEMS MICROBIOL REV	11.392	是	1区	生物	微生物学		https://academic.oup.com/femsre/advance-articles
1759-0876	Wiley Interdisciplinary Reviews-Computational Molecular Science	WIRES COMPUT MOL SCI	8.836	是	1区	生物	化学综合		http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-0884
1461-023X	ECOLOGY LETTERS	ECOL LETT	9.137	是	1区	生物	生态学		https://onlinelibrary.wiley.com/toc/14610248/0/0
1354-1013	GLOBAL CHANGE BIOLOGY	GLOBAL CHANGE BIOL	8.997	是	1区	生物	生物多样性保护		https://onlinelibrary.wiley.com/toc/13652486/0/0
0270-9139	HEPATOLOGY	HEPATOLOGY	14.079	是	1区	医学	胃肠肝病学		https://aasldpubs.onlinelibrary.wiley.com/toc/15273350/0/0
1467-7881	Obesity Reviews	OBES REV	8.483	是	1区	医学	内分泌学与代谢		https://onlinelibrary.wiley.com/toc/1467789x/0/0
0885-3185	MOVEMENT DISORDERS	MOVEMENT DISORD	8.324	是	1区	医学	临床神经病学		https://onlinelibrary.wiley.com/toc/15318257/0/0
0364-5134	ANNALS OF NEUROLOGY	ANN NEUROL	10.25	是	1区	医学	临床神经病学		https://onlinelibrary.wiley.com/toc/15318249/0/0
0195-668X	EUROPEAN HEART JOURNAL	EUR HEART J	23.425	是	1区	医学	心脏和心血管系统		https://academic.oup.com/eurheartj/advance-articles
0006-8950	BRAIN	BRAIN	10.848	是	1区	医学	临床神经病学		https://academic.oup.com/brain/advance-articles
1522-8517	NEURO-ONCOLOGY	NEURO-ONCOLOGY	9.384	是	1区	医学	临床神经病学		https://academic.oup.com/neuro-oncology/advance-articles
0923-7534	ANNALS OF ONCOLOGY	ANN ONCOL	13.93	是	1区	医学	肿瘤学		https://academic.oup.com/annonc/advance-articles
1355-4786	HUMAN REPRODUCTION UPDATE	HUM REPROD UPDATE	11.852	是	1区	医学	妇产科学		https://academic.oup.com/humupd/advance-articles
