name	IF	if_ordered	url
SEMINARS IN CANCER BIOLOGY	10.198	Y	https://www.sciencedirect.com/journal/seminars-in-cancer-biology/articles-in-press
AGEING RESEARCH REVIEWS	8.973	Y	https://www.sciencedirect.com/journal/ageing-research-reviews/articles-in-press
AUTOIMMUNITY REVIEWS	8.745	Y	https://www.sciencedirect.com/journal/autoimmunity-reviews/articles-in-press
PROGRESS IN LIPID RESEARCH	8.435	Y	https://www.sciencedirect.com/journal/progress-in-lipid-research/articles-in-press
JACC-Heart Failure	8.202	Y	https://www.sciencedirect.com/journal/jacc-heart-failure/articles-in-press
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	8.22	Y	https://www.sciencedirect.com/journal/biochimica-et-biophysica-acta-bba-reviews-on-cancer/articles-in-press
STUDIES IN MYCOLOGY	11.633	Y	https://www.journals.elsevier.com/studies-in-mycology/recent-articles
BMJ-British Medical Journal	23.562	Y	https://www.bmj.com/research/research
GUT	17.016	Y	https://gut.bmj.com/content/early/recent
THORAX	9.655	Y	https://thorax.bmj.com/content/early/recent
ANNALS OF THE RHEUMATIC DISEASES	12.35	Y	https://ard.bmj.com/content/early/recent
Molecular Systems Biology	8.5	Y	http://msb.embopress.org/
EMBO JOURNAL	10.557	Y	http://emboj.embopress.org
EMBO REPORTS	8.749	Y	http://embor.embopress.org
PLOS MEDICINE	11.675	Y	https://journals.plos.org/plosmedicine/search?sortOrder=DATE_NEWEST_FIRST&filterStartDate=2019-02-01&filterEndDate=2019-03-03&filterJournals=PLoSMedicine&q=
PLOS BIOLOGY	9.163	Y	https://journals.plos.org/plosbiology/search?sortOrder=DATE_NEWEST_FIRST&filterStartDate=2019-02-01&filterEndDate=2019-03-03&filterJournals=PLoSBiology&q=
BMC Medicine	9.088	Y	https://bmcmedicine.biomedcentral.com/articles
Journal for ImmunoTherapy of Cancer	8.374	Y	https://jitc.biomedcentral.com/articles
JACC-Cardiovascular Imaging	10.247	N	http://imaging.onlinejacc.org/content/early/recent
JACC-Cardiovascular Interventions	9.881	N	http://interventions.onlinejacc.org/content/early/recent
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	16.834	N	http://www.onlinejacc.org/content/early/recent
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	9.504	Y	https://www.pnas.org/content/early/recent
PLANT CELL	8.228	Y	http://www.plantcell.org/content/early/recent
NEUROLOGY	8.055	N	http://www.neurology.org/
EUROPEAN UROLOGY	17.581	Y	https://www.europeanurology.com/inpress
Journal of Thoracic Oncology	10.34	N	https://www.jto.org/inpress
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	13.439	N	https://mmbr.asm.org/latest
DIABETES CARE	13.397	N	http://care.diabetesjournals.org/content/early/recent
HAEMATOLOGICA	9.09	Y	http://www.haematologica.org/content/early/recent
CANCER RESEARCH	9.13	N	http://cancerres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
ENDOCRINE REVIEWS	15.545	Y	https://academic.oup.com/edrv/advance-articles
GASTROENTEROLOGY	20.773	Y	https://www.gastrojournal.org/inpress
CA-A CANCER JOURNAL FOR CLINICIANS	244.585	Y	http://onlinelibrary.wiley.com/journal/10.3322/(ISSN)1542-4863
IMMUNOLOGICAL REVIEWS	9.217	Y	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-065X
EMBO Molecular Medicine	10.293	Y	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1757-4684
JOURNAL OF PINEAL RESEARCH	11.613	Y	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-079X
MEDICINAL RESEARCH REVIEWS	8.29	Y	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-1128
EUROPEAN JOURNAL OF HEART FAILURE	10.683	Y	https://onlinelibrary.wiley.com/toc/18790844/0/0
BIOLOGICAL REVIEWS	11.7	Y	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-185X
FEMS MICROBIOLOGY REVIEWS	11.392	Y	https://academic.oup.com/femsre/advance-articles
Wiley Interdisciplinary Reviews-Computational Molecular Science	8.836	Y	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1759-0884
ECOLOGY LETTERS	9.137	Y	https://onlinelibrary.wiley.com/toc/14610248/0/0
GLOBAL CHANGE BIOLOGY	8.997	Y	https://onlinelibrary.wiley.com/toc/13652486/0/0
HEPATOLOGY	14.079	Y	https://aasldpubs.onlinelibrary.wiley.com/toc/15273350/0/0
Obesity Reviews	8.483	Y	https://onlinelibrary.wiley.com/toc/1467789x/0/0
MOVEMENT DISORDERS	8.324	Y	https://onlinelibrary.wiley.com/toc/15318257/0/0
ANNALS OF NEUROLOGY	10.25	Y	https://onlinelibrary.wiley.com/toc/15318249/0/0
EUROPEAN HEART JOURNAL	23.425	Y	https://academic.oup.com/eurheartj/advance-articles
BRAIN	10.848	Y	https://academic.oup.com/brain/advance-articles
NEURO-ONCOLOGY	9.384	Y	https://academic.oup.com/neuro-oncology/advance-articles
ANNALS OF ONCOLOGY	13.93	Y	https://academic.oup.com/annonc/advance-articles
HUMAN REPRODUCTION UPDATE	11.852	Y	https://academic.oup.com/humupd/advance-articles
CLINICAL INFECTIOUS DISEASES	9.117	Y	https://academic.oup.com/cid/advance-articles
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	8.36	Y	https://academic.oup.com/ije/advance-articles
JNCI-Journal of the National Cancer Institute	11.238	Y	https://academic.oup.com/jnci/advance-articles
SYSTEMATIC BIOLOGY	8.523	Y	https://academic.oup.com/sysbio/advance-articles
NUCLEIC ACIDS RESEARCH	11.561	Y	https://academic.oup.com/nar/advance-articles
MOLECULAR BIOLOGY AND EVOLUTION	10.217	Y	https://academic.oup.com/mbe/advance-articles
National Science Review	9.408	Y	https://academic.oup.com/nsr/advance-articles
Journal of Cachexia Sarcopenia and Muscle	12.511	Y	http://www.cachexia.info/new/online-first-article
Translational Stroke Research	8.266	N	https://link.springer.com/journal/12975/onlineFirst/page/1
ACTA NEUROPATHOLOGICA	15.876	N	https://link.springer.com/search?facet-content-type=Article&facet-journal-id=401&sortOrder=newestFirst
Cell Systems	8.982	Y	https://www.sciencedirect.com/journal/cell-systems
BLOOD	15.132	N	http://www.bloodjournal.org/content/early/recent
Theranostics	8.537	Y	http://www.thno.org/toc/acceptms
CLINICAL CHEMISTRY	8.636	Y	http://clinchem.aaccjnls.org/content/early/recent
CIRCULATION RESEARCH	15.211	N	https://www.ahajournals.org/toc/res/0/0
CANCER TREATMENT REVIEWS	8.122	Y	https://www.cancertreatmentreviews.com/inpress
CLINICAL CANCER RESEARCH	10.199	N	http://clincancerres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
Cancer Immunology Research	9.188	Y	http://cancerimmunolres.aacrjournals.org/content/early/recent?utm_source=early&utm_medium=dropdown&utm_campaign=menu
ANNALS OF INTERNAL MEDICINE	19.384	N	https://annals.org/aim/latest
EUROPEAN RESPIRATORY JOURNAL	12.244	N	https://erj.ersjournals.com/content/early/recent
JOURNAL OF EXPERIMENTAL MEDICINE	10.79	Y	http://jem.rupress.org/newest
JOURNAL OF CLINICAL INVESTIGATION	13.251	Y	http://www.jci.org/
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	13.258	Y	https://www.jacionline.org/inpress
JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	8.655	N	https://jasn.asnjournals.org/content/early/recent
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	15.239	N	https://www.atsjournals.org/toc/ajrcmb/0/ja
JOURNAL OF CELL BIOLOGY	8.784	Y	http://jcb.rupress.org/newest
Autophagy	11.1	Y	https://www.tandfonline.com/action/showAxaArticles?journalCode=kaup20
GENOME RESEARCH	10.101	Y	https://genome.cshlp.org/content/early/recent
GENES & DEVELOPMENT	9.462	Y	http://genesdev.cshlp.org/content/early/recent
ENVIRONMENTAL HEALTH PERSPECTIVES	8.44	Y	https://ehp.niehs.nih.gov
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	8.302	Y	https://esajournals.onlinelibrary.wiley.com/toc/15409309/0/0
CIRCULATION	18.881		https://www.ahajournals.org/toc/circ/0/0
KIDNEY INTERNATIONAL	8.429		https://www.kidney-international.org/inpress
AMERICAN JOURNAL OF PSYCHIATRY	13.396		http://ajp.psychiatryonline.org/
Cold Spring Harbor Perspectives in Biology	9.247		https://cshperspectives.cshlp.org/content/early/recent
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	12.888		http://www.cdc.gov/mmwr/index.html
GENOME BIOLOGY	13.214	Y	https://genomebiology.biomedcentral.com/articles
PHYSIOLOGICAL REVIEWS	24.014	N	https://www.physiology.org/toc/physrev/99/2
ANNALS OF SURGERY	9.203		http://journals.lww.com/annalsofsurgery/pages/default.aspx
NATURAL PRODUCT REPORTS	11.406		https://pubs.rsc.org/en/journals/journalissues/np#!recentarticles&adv
INTENSIVE CARE MEDICINE	15.008		http://icmjournal.esicm.org/journals/online_first.html
PHARMACOLOGICAL REVIEWS	18.964		http://pharmrev.aspetjournals.org/content/latest
PSYCHOTHERAPY AND PSYCHOSOMATICS	13.122		http://www.karger.com/Journal/Home/223864
PERSOONIA	8.182		https://www.ingentaconnect.com/content/nhn/pimj
PSYCHOLOGICAL BULLETIN	13.25		http://www.apa.org/pubs/journals/bul/index.aspx
BEHAVIORAL AND BRAIN SCIENCES	15.071		https://www.cambridge.org/core/journals/behavioral-and-brain-sciences
FUNGAL DIVERSITY	14.078		https://link.springer.com/search?facet-content-type=Article&facet-journal-id=13225&sortOrder=newestFirst
Annual Review of Biochemistry	20.154		http://www.annualreviews.org/journal/biochem
Annual Review of Immunology	22.714		http://www.annualreviews.org/loi/immunol
Annual Review of Pharmacology and Toxicology	13.295		http://www.annualreviews.org/journal/pharmtox
Annual Review of Genetics	9.589		http://www.annualreviews.org/journal/genet
Annual Review of Biophysics	11.742		http://www.annualreviews.org/journal/biophys
Annual Review of Entomology	13.86		http://www.annualreviews.org/journal/ento
Annual Review of Microbiology	9.808		http://www.annualreviews.org/journal/micro
Annual Review of Plant Biology	18.712		http://www.annualreviews.org/journal/arplant
Annual Review of Cell and Developmental Biology	9.032		http://www.annualreviews.org/journal/cellbio
Annual Review of Ecology Evolution and Systematics	10.16		http://www.annualreviews.org/journal/ecolsys
Annual Review of Psychology	22.774		http://www.annualreviews.org/journal/psych
Annual Review of Clinical Psychology	13.278		http://www.annualreviews.org/loi/clinpsy
Annual Review of Phytopathology	9.528		http://www.annualreviews.org/journal/phyto
Annual Review of Pathology-Mechanisms of Disease	15.952		http://www.annualreviews.org/loi/pathmechdis
Annual Review of Public Health	9.491		http://www.annualreviews.org/journal/publhealth
Annual Review of Medicine	14.97		http://www.annualreviews.org/journal/med
Annual Review of Nutrition	8.886		http://www.annualreviews.org/journal/nutr
Annual Review of Physiology	14.327		http://www.annualreviews.org/journal/physiol
Annual Review of Neuroscience	14.675		http://www.annualreviews.org/journal/neuro
DRUG RESISTANCE UPDATES	11.63		https://www.journals.elsevier.com/drug-resistance-updates/recent-articles
CURRENT OPINION IN CELL BIOLOGY	10.015		https://www.journals.elsevier.com/current-opinion-in-cell-biology/recent-articles
